,index,column,importance
0,1,CSNY,1312.0
1,37,GJJRATE,1104.0
2,221,DWJJLX_in_DWSSHY_prop,969.0
3,2481,numsOf_GRJCJS_GRYJCE_div,827.0
4,50,SNLT,760.0
5,44,YELT,719.0
6,46,ZHLT,691.0
7,52,YJLT,638.0
8,3,DWSSHY,604.0
9,2637,numsOf_GRZHDNGJYE_GRYJCE_div,594.0
10,222,DWSSHY_in_DWJJLX_prop,523.0
11,1329,GRJCJS_DKFFE_multi_DKLL_ratio_std,520.0
12,2475,numsOf_GRJCJS_GRZHDNGJYE_diff,519.0
13,39,GJJRATE_GEN3,511.0
14,1289,GRJCJS_DKFFE_std,506.0
15,2561,numsOf_GRZHYE_GRZHDNGJYE_GRZHSNJZYE_div,466.0
16,1286,GRJCJS_GRYJCE_min,458.0
17,24,YEARPURINCM,448.0
18,220,DWJJLX_DWSSHY_count,444.0
19,27,HDYF,442.0
20,1294,GRJCJS_DKYE_std,431.0
21,1570,GRYJCE_GRJCJS_max,424.0
22,1594,GRYJCE_DKYE_std,417.0
23,32,GYE_GJC,415.0
24,1629,GRYJCE_DKFFE_multi_DKLL_ratio_std,403.0
25,263,DWSSHY_in_YJZS_prop,397.0
26,1589,GRYJCE_DKFFE_std,393.0
27,58,bornmonth,380.0
28,1279,GRJCJS_GRZHDNGJYE_std,372.0
29,1574,GRYJCE_GRZHYE_std,371.0
30,38,GJJRATE_GEN,363.0
31,1319,GRJCJS_GRZHDNGJYE_GRZHSNJZYE1_std,362.0
32,2533,numsOf_GRZHYE_GRZHDNGJYE_div,360.0
33,1599,GRYJCE_DKLL_std,360.0
34,1284,GRJCJS_GRYJCE_std,359.0
35,1609,GRYJCE_DKFFE_DKY_multi_DKLL_std,356.0
36,1569,GRYJCE_GRJCJS_std,350.0
37,1274,GRJCJS_GRZHSNJZYE_std,344.0
38,1299,GRJCJS_DKLL_std,342.0
39,2727,numsOf_DKFFE_DKYE_diff,340.0
40,1639,GRYJCE_GRZHYE_diff_GRZHDNGJYE_std,336.0
41,1269,GRJCJS_GRZHYE_std,335.0
42,1584,GRYJCE_GRZHDNGJYE_std,334.0
43,1288,GRJCJS_DKFFE_mean,328.0
44,1492,GRZHDNGJYE_GRJCJS_sum,326.0
45,2565,numsOf_GRZHYE_GRZHDNGJYE_GRZHSNJZYE1_div,326.0
46,2823,numsOf_DKLL_DKFFE_multi_DKLL_ratio_diff,321.0
47,1624,GRYJCE_GRZHDNGJYE_GRZHSNJZYE2_std,320.0
48,2585,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,317.0
49,1309,GRJCJS_DKFFE_DKY_multi_DKLL_std,313.0
50,547,GRZHZT_GRZHYE_mean,307.0
51,21,GRZHYE_diff_GRZHSNJZYE,304.0
52,1339,GRJCJS_GRZHYE_diff_GRZHDNGJYE_std,303.0
