,index,column,importance
107,1852,GRYJCE_HDSYYF_HDZYF_max,152.0
108,247,DWSSHY_DKZS_count,150.0
109,1455,GRJCJS_YEARPURINCM_mean,149.0
110,1473,GRJCJS_HDYF_min,148.0
111,1457,GRJCJS_YEARPURINCM_max,148.0
112,3531,numsOf_DKLL_GRZHYE_diff_GRZHSNJZYE_div,147.0
113,2499,HDZYF_GRZHDNGJYE_sum,147.0
114,3646,numsOf_GRZHYE_diff_GRZHDNGJYE1_HDSYYF_HDZYF_multi,146.0
115,2553,HDZYF_HDYF_min,146.0
116,1413,GRJCJS_GRZHSNJZYE_min,146.0
117,3706,numsOf_YEARPURINCM_HDSYYF_HDZYF_multi,146.0
118,3387,numsOf_GRYJCE_GRZHYE_diff_GRZHSNJZYE_div,145.0
119,2550,HDZYF_HDYF_mean,145.0
120,3487,numsOf_DKYE_GRZHYE_diff_GRZHSNJZYE_div,145.0
121,1764,GRYJCE_GRJCJS_sum,144.0
122,1833,GRYJCE_HDYF_min,143.0
123,3275,numsOf_GRZHSNJZYE_GRZHYE_diff_GRZHDNGJYE1_div,143.0
124,1849,GRYJCE_HDSYYF_HDZYF_sum,142.0
125,1790,GRYJCE_DKYE_mean,142.0
126,3543,numsOf_DKLL_YEARPURINCM_div,140.0
127,2539,HDZYF_YEARPURINCM_sum,139.0
128,1414,GRJCJS_GRZHDNGJYE_sum,139.0
129,1696,GRZHDNGJYE_DKFFE_std,137.0
130,48,GJLT,137.0
131,3151,numsOf_GRJCJS_YEARPURINCM_div,137.0
132,3147,numsOf_GRJCJS_GRZHYE_diff_GRZHSNJZYE1_div,136.0
133,262,DWSSHY_YJZS_count,136.0
134,1489,GRJCJS_HDSYYF_HDZYF_sum,135.0
135,1795,GRYJCE_DKLL_mean,135.0
136,3240,numsOf_GRZHYE_JS_YE_add,135.0
137,1782,GRYJCE_GRZHDNGJYE_max,134.0
138,2566,HDZYF_JS_YE_std,133.0
139,3539,numsOf_DKLL_GRZHYE_diff_GRZHSNJZYE1_div,133.0
140,3139,numsOf_GRJCJS_GRZHYE_diff_GRZHSNJZYE_div,133.0
141,3283,numsOf_GRZHSNJZYE_YEARPURINCM_div,133.0
142,1743,GRZHDNGJYE_HDYF_min,132.0
143,1488,GRJCJS_JS_YE_min,132.0
144,1817,GRYJCE_YEARPURINCM_max,132.0
145,1850,GRYJCE_HDSYYF_HDZYF_mean,132.0
146,343,DWJJLX_GRZHDNGJYE_sum,132.0
147,3211,numsOf_GRZHYE_GRZHYE_diff_GRZHDNGJYE1_div,131.0
148,241,DWJJLX_YJZS_count,130.0
149,2484,HDZYF_GRJCJS_sum,130.0
150,2546,HDZYF_HDSYYF_std,129.0
151,1733,GRZHDNGJYE_HDZYF_min,129.0
152,1966,DKYE_GRYJCE_std,129.0
153,1799,GRYJCE_GRZHYE_diff_GRZHSNJZYE_sum,128.0
154,2835,HDZYFZE_JS_YE_std,127.0
155,2825,HDZYFZE_HDYF_std,127.0
156,1936,DKFFE_JS_YE_std,127.0
157,3230,numsOf_GRZHYE_HDYF_multi,126.0
158,1778,GRYJCE_GRZHSNJZYE_min,126.0
159,3143,numsOf_GRJCJS_GRZHYE_diff_GRZHDNGJYE1_div,126.0
160,3391,numsOf_GRYJCE_GRZHYE_diff_GRZHDNGJYE1_div,126.0
161,1802,GRYJCE_GRZHYE_diff_GRZHSNJZYE_max,125.0
162,1419,GRJCJS_GRYJCE_sum,125.0
163,3219,numsOf_GRZHYE_YEARPURINCM_div,125.0
164,3581,numsOf_GRZHYE_diff_GRZHSNJZYE_YEARPURINCM_diff,124.0
165,3175,numsOf_GRJCJS_JS_YE_div,124.0
166,2502,HDZYF_GRZHDNGJYE_max,123.0
167,1435,GRJCJS_DKLL_mean,123.0
168,1452,GRJCJS_GRZHYE_diff_GRZHSNJZYE1_max,122.0
169,1759,GRZHDNGJYE_HDSYYF_HDZYF_sum,122.0
170,1432,GRJCJS_DKYE_max,122.0
171,3582,numsOf_GRZHYE_diff_GRZHSNJZYE_YEARPURINCM_multi,121.0
172,3567,numsOf_DKLL_JS_YE_div,120.0
173,3451,numsOf_DKFFE_YEARPURINCM_div,119.0
