,index,column,importance
0,1,CSNY,732.0
1,3,DWSSHY,556.0
2,221,DWJJLX_in_DWSSHY_prop,546.0
3,50,SNLT,343.0
4,46,ZHLT,331.0
5,222,DWSSHY_in_DWJJLX_prop,325.0
6,44,YELT,271.0
7,220,DWJJLX_DWSSHY_count,259.0
8,554,GRZHZT_GRZHYE_mean,242.0
9,1296,GRJCJS_GRZHSNJZYE_std,235.0
10,24,YEARPURINCM,229.0
11,1341,GRJCJS_YJCE2GRZHDNGJYE_std,204.0
12,2873,numsOf_GRZHDNGJYE_GJJRATE_GEN2_div,200.0
13,3180,numsOf_GJJRATE_GEN_GJJRATE_GEN2_multi,195.0
14,2440,GJJRATE_GEN_DKYE_std,193.0
15,1301,GRJCJS_GRZHDNGJYE_std,186.0
16,263,DWSSHY_in_YJZS_prop,186.0
17,1366,GRJCJS_DKFFE_DKYE251_std,181.0
18,1316,GRJCJS_DKYE_std,179.0
19,3144,numsOf_YJCE2GRZHDNGJYE_GJJRATE_GEN2_multi,176.0
20,2425,GJJRATE_GEN_GRZHDNGJYE_std,175.0
21,52,YJLT,173.0
22,1735,DKFFE_YE_USAGE_mean,169.0
23,1677,GRYJCE_GJJRATE_GEN_max,169.0
24,3145,numsOf_YJCE2GRZHDNGJYE_GJJRATE_GEN2_div,169.0
25,1336,GRJCJS_YE_USAGE_std,168.0
26,27,HDYF,168.0
27,2829,numsOf_GRZHDNGJYE_GRYJCE_div,168.0
28,58,bornmonth,166.0
29,2713,numsOf_GRZHYE_GRZHSNJZYE_div,164.0
30,1346,GRJCJS_GRYJCE_RATE_std,160.0
31,21,GRZHYE_diff_GRZHSNJZYE,157.0
32,89,DWJJLX_8,156.0
33,2799,numsOf_GRZHSNJZYE_YE_USAGE_diff,155.0
34,2485,GJJRATE_GEN_DKFFE_DKYE251_std,155.0
35,3056,numsOf_GYE_GJC_YJCE2GRZHDNGJYE_multi,152.0
36,1311,GRJCJS_DKFFE_std,149.0
37,2520,GJJRATE_GEN2_DKYE_std,149.0
38,2420,GJJRATE_GEN_GRZHSNJZYE_std,146.0
39,3091,numsOf_USAGE_RATE_GJJRATE_diff,143.0
40,3140,numsOf_YJCE2GRZHDNGJYE_GJJRATE_GEN_multi,143.0
41,1364,GRJCJS_DKFFE_DKYE251_sum,141.0
42,2773,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,139.0
43,1510,GRZHSNJZYE_GJJRATE_mean,139.0
44,1326,GRJCJS_GYE_GJC_std,138.0
45,241,DWJJLX_YJZS_count,138.0
46,2845,numsOf_GRZHDNGJYE_GYE_GJC_div,138.0
47,2460,GJJRATE_GEN_YE_USAGE_std,133.0
48,1684,GRYJCE_DKFFE_DKYE251_sum,133.0
49,3014,numsOf_DKLL_USAGE_RATE_add,133.0
50,2869,numsOf_GRZHDNGJYE_GJJRATE_GEN_div,133.0
51,1295,GRJCJS_GRZHSNJZYE_mean,132.0
52,3069,numsOf_GYE_GJC_GJJRATE_GEN_div,132.0
53,3141,numsOf_YJCE2GRZHDNGJYE_GJJRATE_GEN_div,131.0
54,1636,GRYJCE_DKYE_std,131.0
55,1661,GRYJCE_YJCE2GRZHDNGJYE_std,130.0
56,2470,GJJRATE_GEN_GRYJCE_RATE_std,130.0
57,2937,numsOf_DKFFE_GYE_GJC_div,130.0
58,264,YJZS_in_DWSSHY_prop,129.0
59,1351,GRJCJS_GJJRATE_std,129.0
60,1331,GRJCJS_USAGE_RATE_std,129.0
61,2655,numsOf_GRJCJS_GRZHDNGJYE_diff,128.0
62,22,GRZHYE_diff_GRZHDNGJYE1,128.0
63,2061,USAGE_RATE_YJCE2GRZHDNGJYE_std,128.0
64,2540,GJJRATE_GEN2_YE_USAGE_std,127.0
65,1310,GRJCJS_DKFFE_mean,126.0
66,1339,GRJCJS_YJCE2GRZHDNGJYE_sum,126.0
67,1551,GRZHDNGJYE_DKFFE_std,126.0
68,30,JS_YE,126.0
69,2977,numsOf_DKYE_GYE_GJC_div,125.0
70,1335,GRJCJS_YE_USAGE_mean,123.0
71,1300,GRJCJS_GRZHDNGJYE_mean,123.0
72,2565,GJJRATE_GEN2_DKFFE_DKYE251_std,122.0
73,2450,GJJRATE_GEN_GYE_GJC_std,120.0
74,2844,numsOf_GRZHDNGJYE_GYE_GJC_multi,120.0
75,3109,numsOf_YE_USAGE_YJCE2GRZHDNGJYE_div,120.0
76,2465,GJJRATE_GEN_YJCE2GRZHDNGJYE_std,120.0
77,2500,GJJRATE_GEN2_GRZHSNJZYE_std,120.0
78,1327,GRJCJS_GYE_GJC_max,119.0
79,2867,numsOf_GRZHDNGJYE_GJJRATE_GEN_diff,119.0
80,1357,GRJCJS_GJJRATE_GEN_max,118.0
81,2188,YJCE2GRZHDNGJYE_GRZHDNGJYE_min,118.0
82,1631,GRYJCE_DKFFE_std,117.0
83,1291,GRJCJS_GRZHYE_std,117.0
84,2927,numsOf_DKFFE_DKYE_diff,116.0
85,1330,GRJCJS_USAGE_RATE_mean,116.0
