,index,column,importance
101,1030,GRYJCE_GRZHDNGJYE_GRZHSNJZYE1_mean,51.0
102,2949,HDZYFZE_HDYF_std,51.0
103,3619,numsOf_DKLL_DKFFE_multi_DKLL_ratio_diff,51.0
104,344,DWSSHY_YEARPURINCM_min,50.0
105,997,GRYJCE_GRZHDNGJYE_max,50.0
106,968,GRZHDNGJYE_HDYF_min,49.0
107,357,DWSSHY_HDYF_max,49.0
108,560,GRJCJS_DKFFE_mean,49.0
109,1006,GRYJCE_DKYE_std,48.0
110,1032,GRYJCE_GRZHDNGJYE_GRZHSNJZYE1_max,48.0
111,3368,numsOf_GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE_multi,48.0
112,2914,HDZYFZE_DKFFE_multi_DKLL_ratio_std,48.0
113,886,GRZHDNGJYE_GRYJCE_std,47.0
114,3189,numsOf_GRZHYE_GRZHDNGJYE_GRZHSNJZYE_div,47.0
115,979,GRYJCE_GRJCJS_sum,47.0
116,2610,HDZYF_HDSYYF_std,47.0
117,618,GRJCJS_GRZHYE_diff_GRZHSNJZYE_min,46.0
118,2570,HDZYF_GRZHDNGJYE_GRZHSNJZYE_std,46.0
119,3909,numsOf_DKFFE_multi_DKLL_ratio_GRZHYE_diff_GRZHSNJZYE_div,45.0
120,596,GRJCJS_GRZHDNGJYE_GRZHSNJZYE2_std,45.0
121,3380,numsOf_GRZHDNGJYE_HDSYYF_multi,45.0
122,1025,GRYJCE_GRZHDNGJYE_GRZHSNJZYE_mean,45.0
123,3105,numsOf_GRJCJS_GRZHDNGJYE_GRZHSNJZYE_div,45.0
124,3140,numsOf_GRJCJS_HDSYYF_multi,45.0
125,3553,numsOf_DKYE_GRZHDNGJYE_GRZHSNJZYE1_div,45.0
126,3217,numsOf_GRZHYE_YEARPURINCM_div,44.0
127,646,GRJCJS_HDSYYFZE_std,44.0
128,549,GRJCJS_GRZHDNGJYE_sum,44.0
129,958,GRZHDNGJYE_HDZYF_min,44.0
130,3133,numsOf_GRJCJS_YEARPURINCM_div,44.0
131,1062,GRYJCE_YEARPURINCM_max,44.0
132,595,GRJCJS_GRZHDNGJYE_GRZHSNJZYE2_mean,44.0
