,index,column,importance
0,37,GJJRATE,906.0
1,1,CSNY,855.0
2,224,DWJJLX_in_DWSSHY_prop,682.0
3,3,DWSSHY,573.0
4,2790,numsOf_GRJCJS_GRYJCE_div,508.0
5,2958,numsOf_GRZHDNGJYE_GRYJCE_div,403.0
6,27,HDYF,376.0
7,3056,numsOf_DKFFE_DKYE_diff,373.0
8,225,DWSSHY_in_DWJJLX_prop,333.0
9,1467,GRJCJS_YELT_std,332.0
10,1432,GRJCJS_GRZHSNJZYE_std,320.0
11,1447,GRJCJS_DKFFE_std,310.0
12,2784,numsOf_GRJCJS_GRZHDNGJYE_diff,286.0
13,223,DWJJLX_DWSSHY_count,284.0
14,24,YEARPURINCM,270.0
15,39,GJJRATE_GEN3,269.0
16,1477,GRJCJS_GJLT_std,266.0
17,1452,GRJCJS_DKYE_std,249.0
18,1437,GRJCJS_GRZHDNGJYE_std,242.0
19,1482,GRJCJS_SNLT_std,239.0
20,269,DWSSHY_in_YJZS_prop,237.0
21,1462,GRJCJS_DKLT_std,235.0
22,36,GRYJCE_RATE,232.0
23,1492,GRJCJS_SUBMONTH_std,223.0
24,1471,GRJCJS_ZHLT_mean,222.0
25,1472,GRJCJS_ZHLT_std,219.0
26,1779,GRYJCE_DKLT_std,211.0
27,1444,GRJCJS_GRYJCE_min,208.0
28,2820,numsOf_GRJCJS_SNLT_diff,204.0
29,1502,GRJCJS_MONTH_LOG_std,203.0
30,1799,GRYJCE_SNLT_std,199.0
31,1784,GRYJCE_YELT_std,198.0
32,1754,GRYJCE_GRZHSNJZYE_std,195.0
33,31,HDSYYF_HDZYF,185.0
34,1469,GRJCJS_YELT_min,184.0
35,1466,GRJCJS_YELT_mean,184.0
36,21,GRZHYE_diff_GRZHSNJZYE,183.0
37,1745,GRYJCE_GRJCJS_max,183.0
38,1789,GRYJCE_ZHLT_std,181.0
39,1457,GRJCJS_DKLL_std,181.0
40,1446,GRJCJS_DKFFE_mean,181.0
41,1427,GRJCJS_GRZHYE_std,174.0
42,2499,YJLT_DKLT_std,173.0
43,587,GRZHZT_GRZHYE_mean,173.0
44,400,DWJJLX_DKLT_std,172.0
45,3098,numsOf_DKFFE_MONTH_LOG_div,171.0
46,1744,GRYJCE_GRJCJS_std,171.0
47,1436,GRJCJS_GRZHDNGJYE_mean,168.0
48,2514,YJLT_GJLT_std,167.0
49,38,GJJRATE_GEN,165.0
50,2484,YJLT_DKFFE_std,163.0
51,1488,GRJCJS_YJLT_max,163.0
52,1431,GRJCJS_GRZHSNJZYE_mean,162.0
53,18,DKFFE_multi_DKLL_ratio,161.0
54,1497,GRJCJS_YJCE_LOG_std,160.0
55,1461,GRJCJS_DKLT_mean,159.0
56,3176,numsOf_DKLT_YELT_diff,158.0
57,2519,YJLT_SNLT_std,157.0
58,1476,GRJCJS_GJLT_mean,156.0
59,2489,YJLT_DKYE_std,155.0
60,3233,numsOf_YELT_MONTH_LOG_multi,154.0
61,3281,numsOf_SNLT_YJLT_multi,153.0
62,58,bornmonth,152.0
63,2842,numsOf_GRZHYE_GRZHSNJZYE_div,152.0
64,2902,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,152.0
65,3234,numsOf_YELT_MONTH_LOG_div,151.0
66,1451,GRJCJS_DKYE_mean,151.0
67,1759,GRYJCE_GRZHDNGJYE_std,150.0
68,1481,GRJCJS_SNLT_mean,150.0
69,2469,YJLT_GRZHSNJZYE_std,150.0
70,1468,GRJCJS_YELT_max,150.0
71,1774,GRYJCE_DKLL_std,148.0
72,22,GRZHYE_diff_GRZHDNGJYE1,148.0
