,index,column,importance
120,541,GRYJCE_HDZYFZE_mean,234.0
121,266,GRJCJS_GRZHYE_max,233.0
122,1406,numsOf_DKLL_YEARPURINCM_div,232.0
123,296,GRJCJS_HDZYFZE_mean,232.0
124,36,DWJJLX_TOP_USER_count,231.0
125,584,GRYJCE_DKXE_min,230.0
126,762,HDZYF_DKXE_sum,229.0
127,700,HDZYF_GRZHDNGJYE_sum,229.0
128,312,GRJCJS_TOP_USER_mean,228.0
129,1535,numsOf_TOP_USER_DKXE_multi,228.0
130,274,GRJCJS_GRZHDNGJYE_max,228.0
131,1437,numsOf_YEARPURINCM_WITHDRAW_SUBMIT_div,227.0
132,711,HDZYF_YEARPURINCM_std,227.0
133,1384,numsOf_GRYJCE_HDSYYF_add,227.0
134,1209,DKXE_GRYJCE_std,226.0
135,275,GRJCJS_GRYJCE_std,226.0
136,533,GRYJCE_YEARPURINCM_min,226.0
137,581,GRYJCE_DKXE_mean,226.0
138,1396,numsOf_GRYJCE_USAGE_AMOUNT_multi,225.0
139,1351,numsOf_GRZHSNJZYE_USAGE_AMOUNT_add,225.0
140,290,GRJCJS_HDSYYF_mean,225.0
141,1357,numsOf_GRZHSNJZYE_WITHDRAW_SUBMIT_div,225.0
142,45,DWSSHY_XINGBIE_count,224.0
143,316,GRJCJS_TOP_USER1_mean,222.0
144,39,DWJJLX_in_GJJRATE_prop,222.0
145,547,GRYJCE_HDSYYFZE_max,221.0
146,1129,USAGE_AMOUNT_DKXE_mean,220.0
147,1256,DKXE_TOP_USER1_std,217.0
148,721,HDZYF_HDYF_min,217.0
149,1215,DKXE_DKLL_std,215.0
150,334,GRJCJS_DKXE_mean,215.0
151,46,DWSSHY_in_XINGBIE_prop,215.0
152,1353,numsOf_GRZHSNJZYE_USAGE_AMOUNT_multi,215.0
153,1376,numsOf_GRZHDNGJYE_WITHDRAW_multi,215.0
154,1074,USAGE_AMOUNT_GRZHSNJZYE_std,214.0
155,1511,numsOf_USAGE_RATE_USAGE_AMOUNT_multi,212.0
156,571,GRYJCE_USAGE_AMOUNT_mean,212.0
157,1276,GRJCJS_DWSSHY_max,211.0
158,549,GRYJCE_USAGE_RATE_mean,211.0
159,1089,USAGE_AMOUNT_YEARPURINCM_mean,211.0
160,339,GRZHYE_GRZHSNJZYE_max,210.0
161,1197,DKXE_GRZHYE_std,210.0
