,index,column,importance
113,70,GRJCJS_HDYF_std,617.0
114,130,GRYJCE_HDZYF_min,616.0
115,292,numsOf_HDZYF_WITHDRAW_SUBMIT_div,613.0
116,123,GRYJCE_DKLL_std,613.0
117,57,GRJCJS_DKLL_std,611.0
118,230,DKXE_TOP_USER_std,611.0
119,81,GRJCJS_TOP_USER_mean,611.0
120,17,GJJRATE_in_DWJJLX_prop,605.0
121,251,numsOf_GRZHYE_WITHDRAW_multi,605.0
122,307,numsOf_GJJRATE_WITHDRAW_SUBMIT_div,604.0
123,73,GRJCJS_HDZYFZE_mean,603.0
124,91,GRJCJS_USAGE_AMOUNT_std,602.0
125,162,HDZYF_GRZHSNJZYE_max,601.0
126,40,GRJCJS_GRZHYE_mean,600.0
127,124,GRYJCE_YEARPURINCM_sum,598.0
128,281,numsOf_DKFFE_YEARPURINCM_div,597.0
129,30,DWSSHY_in_GJJRATE_prop,596.0
130,203,DKXE_GRZHSNJZYE_mean,596.0
131,305,numsOf_USAGE_RATE_WITHDRAW_SUBMIT_div,592.0
132,121,GRYJCE_DKFFE_std,590.0
133,58,GRJCJS_YEARPURINCM_sum,590.0
134,142,GRYJCE_USAGE_RATE_std,589.0
135,286,numsOf_YEARPURINCM_TOP_USER_div,587.0
136,259,numsOf_GRZHSNJZYE_HDZYF_multi,584.0
137,202,DKXE_GRZHYE_max,582.0
138,279,numsOf_GRYJCE_DKXE_multi,581.0
139,44,GRJCJS_GRZHSNJZYE_mean,580.0
140,36,DWSSHY_HDSYYFZE_mean,578.0
141,267,numsOf_GRZHSNJZYE_DKXE_div,578.0
142,244,numsOf_GRJCJS_WITHDRAW_add,577.0
143,59,GRJCJS_YEARPURINCM_mean,576.0
144,276,numsOf_GRYJCE_HDYF_add,576.0
145,110,GRYJCE_GRZHYE_std,574.0
146,253,numsOf_GRZHYE_USAGE_AMOUNT_multi,574.0
147,310,numsOf_TOP_USER_DKXE_multi,571.0
148,64,GRJCJS_HDZYF_min,571.0
149,289,numsOf_YEARPURINCM_WITHDRAW_SUBMIT_multi,570.0
150,25,TOP_USER_in_DWSSHY_prop,570.0
151,227,DKXE_USAGE_RATE_mean,569.0
152,61,GRJCJS_YEARPURINCM_max,568.0
153,113,GRYJCE_GRZHSNJZYE_mean,568.0
154,297,numsOf_HDYF_WITHDRAW_SUBMIT_div,566.0
155,74,GRJCJS_HDSYYFZE_mean,566.0
156,268,numsOf_GRZHDNGJYE_YEARPURINCM_add,563.0
157,315,numsOf_USAGE_AMOUNT_DKXE_multi,561.0
158,274,numsOf_GRYJCE_HDZYF_add,560.0
159,152,GRYJCE_USAGE_AMOUNT_std,559.0
160,221,DKXE_HDYF_mean,558.0
161,282,numsOf_DKYE_YEARPURINCM_div,556.0
162,262,numsOf_GRZHSNJZYE_GJJRATE_multi,556.0
163,117,GRYJCE_GRZHDNGJYE_sum,555.0
164,104,GRZHDNGJYE_DKXE_sum,554.0
165,300,numsOf_HDZYFZE_WITHDRAW_SUBMIT_div,553.0
166,127,GRYJCE_YEARPURINCM_max,553.0
167,272,numsOf_GRZHDNGJYE_WITHDRAW_multi,552.0
168,10,DWJJLX_TOP_USER_count,550.0
169,314,numsOf_USAGE_AMOUNT_WITHDRAW_SUBMIT_div,547.0
170,224,DKXE_HDZYFZE_mean,545.0
171,252,numsOf_GRZHYE_USAGE_AMOUNT_add,545.0
172,47,GRJCJS_GRZHSNJZYE_min,544.0
173,116,GRYJCE_GRZHSNJZYE_min,544.0
174,119,GRYJCE_GRZHDNGJYE_std,544.0
175,90,GRJCJS_USAGE_AMOUNT_mean,543.0
176,287,numsOf_YEARPURINCM_WITHDRAW_multi,543.0
177,231,DKXE_TOP_USER1_std,541.0
178,177,HDZYF_DKXE_min,540.0
179,15,DWJJLX_GJJRATE_count,539.0
180,311,numsOf_TOP_USER_DKXE_div,539.0
181,145,GRYJCE_TOP_USER_mean,537.0
182,233,DKXE_USAGE_AMOUNT_mean,537.0
183,83,GRJCJS_TOP_USER1_mean,536.0
184,80,GRJCJS_GJJRATE_std,528.0
185,199,WITHDRAW_SUBMIT_DKXE_max,526.0
186,154,GRYJCE_WITHDRAW_SUBMIT_std,525.0
187,33,WITHSIGN2_in_DWSSHY_prop,525.0
188,51,GRJCJS_GRZHDNGJYE_max,524.0
189,160,HDZYF_GRZHSNJZYE_mean,523.0
190,254,numsOf_GRZHYE_WITHDRAW_SUBMIT_div,523.0
191,245,numsOf_GRJCJS_DKXE_multi,522.0
192,137,GRYJCE_HDZYFZE_mean,521.0
193,175,HDZYF_DKXE_mean,520.0
194,166,HDZYF_DKYE_std,520.0
195,200,DKXE_GRZHYE_mean,518.0
196,223,DKXE_HDYF_min,517.0
197,210,DKXE_GRYJCE_min,517.0
198,207,DKXE_GRZHDNGJYE_max,516.0
199,19,GJSIGN_in_DWJJLX_prop,514.0
200,128,GRYJCE_YEARPURINCM_min,514.0
201,77,GRJCJS_USAGE_RATE_mean,513.0
202,169,HDZYF_YEARPURINCM_std,511.0
203,161,HDZYF_GRZHSNJZYE_std,510.0
204,69,GRJCJS_HDYF_mean,510.0
205,34,XINGBIE_in_TOP_USER_prop,508.0
206,86,GRJCJS_WITHDRAW_std,504.0
207,53,GRJCJS_GRYJCE_std,502.0
208,209,DKXE_GRYJCE_std,501.0
209,134,GRYJCE_HDYF_std,501.0
210,8,DWJJLX_XINGBIE_count,500.0
211,168,HDZYF_YEARPURINCM_mean,500.0
212,303,numsOf_HDSYYFZE_WITHDRAW_SUBMIT_div,500.0
213,212,DKXE_DKYE_std,500.0
214,213,DKXE_DKLL_std,499.0
215,306,numsOf_USAGE_RATE_DKXE_multi,494.0
216,125,GRYJCE_YEARPURINCM_mean,493.0
217,211,DKXE_DKFFE_std,491.0
218,85,GRJCJS_WITHDRAW_mean,491.0
219,49,GRJCJS_GRZHDNGJYE_mean,490.0
220,67,GRJCJS_HDSYYF_max,490.0
221,215,DKXE_YEARPURINCM_mean,489.0
222,140,GRYJCE_HDSYYFZE_max,488.0
223,133,GRYJCE_HDYF_mean,488.0
224,88,GRJCJS_WITHDRAW_min,487.0
225,283,numsOf_DKLL_YEARPURINCM_div,486.0
226,229,DKXE_TOP_USER_mean,484.0
227,141,GRYJCE_USAGE_RATE_mean,484.0
228,13,DWJJLX_in_WITHSIGN_prop,483.0
229,94,GRJCJS_WITHDRAW_SUBMIT_mean,480.0
230,226,DKXE_HDSYYFZE_max,477.0
231,205,DKXE_GRZHSNJZYE_min,476.0
232,131,GRYJCE_HDSYYF_std,476.0
233,120,GRYJCE_GRZHDNGJYE_max,475.0
234,75,GRJCJS_HDSYYFZE_max,474.0
235,72,GRJCJS_HDYF_min,473.0
236,176,HDZYF_DKXE_max,472.0
237,149,GRYJCE_WITHDRAW_min,469.0
238,48,GRJCJS_GRZHDNGJYE_sum,469.0
239,87,GRJCJS_WITHDRAW_max,467.0
240,115,GRYJCE_GRZHSNJZYE_max,465.0
241,220,DKXE_HDSYYF_min,462.0
242,158,GRYJCE_DKXE_max,462.0
243,28,WITHSIGN_in_DWSSHY_prop,458.0
244,26,DWSSHY_WITHSIGN_count,457.0
245,54,GRJCJS_GRYJCE_min,456.0
246,164,HDZYF_GRZHDNGJYE_std,453.0
247,9,XINGBIE_in_DWJJLX_prop,453.0
248,201,DKXE_GRZHYE_std,452.0
249,170,HDZYF_HDSYYF_std,449.0
250,62,GRJCJS_YEARPURINCM_min,449.0
251,186,WITHDRAW_DKXE_mean,446.0
